region,canal,metodo_pago,ticket,dias_entrega,satisfaccion
Norte,App,Billetera digital,52.55,6.0,4.0
Lima,App,Billetera digital,103.99,4.0,4.0
Norte,Web,Contra entrega,156.32,3.0,4.0
Centro,App,Contra entrega,151.45,4.0,3.0
Centro,Web,Contra entrega,182.05,2.0,3.0
Norte,App,Tarjeta,123.45,1.0,4.0
Centro,App,Contra entrega,83.63,5.0,3.0
Lima,Web,Tarjeta,95.29,2.0,3.0
Lima,App,Contra entrega,89.51,2.0,4.0
Oriente,Web,Billetera digital,113.68,5.0,3.0
Centro,Web,Contra entrega,109.15,1.0,5.0
Norte,Web,Contra entrega,87.88,2.0,5.0
Lima,Web,Billetera digital,109.12,1.0,4.0
Sur,App,Tarjeta,216.68,1.0,3.0
Sur,App,Contra entrega,152.95,3.0,5.0
Lima,App,Tarjeta,75.44,2.0,4.0
Lima,Web,Tarjeta,120.96,1.0,4.0
Lima,App,Billetera digital,255.55,3.0,5.0
Centro,Web,Billetera digital,96.99,3.0,4.0
Lima,Web,Billetera digital,86.41,6.0,4.0
Lima,Web,Billetera digital,182.7,3.0,4.0
Lima,Web,Tarjeta,266.89,2.0,5.0
Norte,App,Contra entrega,201.12,3.0,5.0
Lima,App,Billetera digital,124.83,2.0,4.0
Lima,Web,Tarjeta,104.64,1.0,5.0
Norte,Web,Billetera digital,255.72,2.0,4.0
Lima,Web,Billetera digital,85.17,1.0,5.0
Norte,Web,Billetera digital,90.04,3.0,4.0
Norte,Web,Tarjeta,156.61,4.0,4.0
Lima,App,Contra entrega,416.01,1.0,5.0
Lima,App,Tarjeta,99.5,2.0,3.0
Lima,App,Tarjeta,183.19,1.0,5.0
Lima,App,Billetera digital,40.75,1.0,5.0
Centro,Web,Billetera digital,383.78,2.0,3.0
Oriente,App,Billetera digital,47.23,2.0,5.0
Lima,App,Tarjeta,67.01,3.0,5.0
Centro,Web,Billetera digital,119.23,5.0,4.0
Lima,App,Billetera digital,80.02,2.0,5.0
Lima,Web,Billetera digital,131.53,2.0,3.0
Lima,App,Tarjeta,147.42,1.0,5.0
Lima,App,Billetera digital,238.98,2.0,5.0
Lima,Web,Billetera digital,54.79,3.0,4.0
Lima,Web,Billetera digital,80.9,2.0,3.0
Oriente,App,Billetera digital,56.39,3.0,4.0
Centro,Web,Billetera digital,59.57,3.0,4.0
Sur,App,Tarjeta,193.11,1.0,3.0
Sur,App,Contra entrega,117.56,5.0,4.0
Norte,App,Billetera digital,220.51,3.0,3.0
Lima,App,Tarjeta,320.21,1.0,5.0
Lima,Web,Billetera digital,117.1,1.0,4.0
Norte,App,Tarjeta,285.55,3.0,2.0
Norte,Web,Tarjeta,138.39,2.0,5.0
Norte,App,Tarjeta,87.06,6.0,3.0
Lima,Web,Billetera digital,229.86,1.0,3.0
Lima,Web,Billetera digital,305.52,1.0,4.0
Norte,App,Contra entrega,229.05,5.0,4.0
Sur,App,Tarjeta,145.17,4.0,4.0
Oriente,App,Tarjeta,84.43,3.0,4.0
Centro,Web,Billetera digital,127.61,3.0,4.0
Norte,Web,Tarjeta,52.67,2.0,3.0
Norte,Web,Contra entrega,159.86,2.0,5.0
Lima,App,Tarjeta,193.67,2.0,5.0
Norte,App,Contra entrega,187.64,3.0,4.0
Lima,Web,Billetera digital,122.66,1.0,5.0
Lima,Web,Contra entrega,236.81,3.0,3.0
Lima,App,Billetera digital,483.85,3.0,5.0
Oriente,App,Contra entrega,159.37,7.0,2.0
Sur,Web,Contra entrega,258.37,3.0,3.0
Lima,Web,Tarjeta,195.13,1.0,4.0
Centro,App,Contra entrega,110.25,2.0,4.0
Lima,App,Billetera digital,187.4,3.0,4.0
Lima,Web,Billetera digital,123.4,2.0,4.0
Norte,Web,Tarjeta,181.77,4.0,5.0
Lima,Web,Tarjeta,62.35,1.0,3.0
Lima,Web,Tarjeta,94.66,1.0,4.0
Norte,Web,Tarjeta,66.22,2.0,5.0
Centro,App,Tarjeta,84.6,1.0,5.0
Lima,App,Billetera digital,208.04,2.0,4.0
Norte,Web,Billetera digital,105.19,2.0,3.0
Lima,App,Billetera digital,238.64,2.0,5.0
Oriente,Web,Tarjeta,259.15,7.0,2.0
Lima,Web,Contra entrega,62.69,2.0,5.0
Sur,App,Billetera digital,171.23,2.0,4.0
Lima,App,Billetera digital,134.44,2.0,5.0
Lima,Web,Tarjeta,222.58,2.0,4.0
Centro,App,Contra entrega,92.38,4.0,4.0
Lima,App,Tarjeta,224.79,1.0,4.0
Lima,Web,Tarjeta,75.03,2.0,5.0
Lima,Web,Billetera digital,290.62,2.0,4.0
Lima,App,Billetera digital,484.93,3.0,5.0
Sur,App,Tarjeta,64.68,3.0,5.0
Centro,App,Billetera digital,133.07,5.0,4.0
Lima,Web,Tarjeta,117.43,1.0,5.0
Sur,App,Billetera digital,216.65,3.0,5.0
Norte,Web,Contra entrega,138.04,5.0,5.0
Lima,Web,Tarjeta,207.01,2.0,4.0
Lima,Web,Tarjeta,179.2,1.0,4.0
Norte,App,Tarjeta,94.8,2.0,3.0
Lima,Web,Tarjeta,234.31,1.0,5.0
Lima,Web,Billetera digital,100.2,2.0,4.0
Norte,Web,Tarjeta,171.24,4.0,3.0
Centro,Web,Contra entrega,168.97,5.0,4.0
Lima,Web,Contra entrega,94.3,1.0,5.0
Lima,Web,Tarjeta,332.01,1.0,5.0
Norte,App,Contra entrega,110.45,3.0,4.0
Oriente,Web,Contra entrega,151.6,7.0,3.0
Oriente,App,Billetera digital,91.43,6.0,5.0
Centro,App,Contra entrega,163.28,1.0,5.0
Lima,Web,Billetera digital,138.62,1.0,
Norte,Web,Contra entrega,70.55,3.0,4.0
Norte,Web,Billetera digital,148.13,3.0,4.0
Lima,Web,Contra entrega,304.68,2.0,4.0
Lima,Web,Billetera digital,86.23,2.0,5.0
Norte,Web,Contra entrega,90.84,3.0,5.0
Lima,App,Tarjeta,45.49,2.0,4.0
Centro,Web,Contra entrega,110.76,7.0,3.0
Norte,App,Tarjeta,87.75,2.0,4.0
Lima,App,Billetera digital,59.13,1.0,4.0
Lima,Web,Tarjeta,148.6,1.0,
Sur,Web,Tarjeta,108.84,4.0,3.0
Lima,App,Tarjeta,191.04,2.0,5.0
Lima,Web,Tarjeta,163.43,3.0,5.0
Lima,App,Billetera digital,272.53,2.0,4.0
Lima,App,Tarjeta,281.77,3.0,5.0
Lima,App,Billetera digital,121.19,3.0,4.0
Oriente,App,Tarjeta,64.11,2.0,4.0
Sur,Web,Tarjeta,129.91,4.0,3.0
Centro,App,Tarjeta,130.25,1.0,3.0
Sur,App,Contra entrega,183.73,5.0,4.0
Lima,Web,Tarjeta,79.42,2.0,3.0
Norte,App,Billetera digital,209.76,2.0,3.0
Norte,Web,Tarjeta,103.56,4.0,3.0
Lima,App,Contra entrega,145.97,1.0,5.0
Lima,App,Billetera digital,323.76,1.0,3.0
Lima,App,Billetera digital,101.23,3.0,4.0
Oriente,App,Billetera digital,65.15,8.0,3.0
Centro,Web,Billetera digital,289.47,4.0,5.0
Lima,App,Contra entrega,275.11,2.0,5.0
Lima,Web,Tarjeta,69.47,1.0,5.0
Norte,Web,Tarjeta,42.87,2.0,5.0
Lima,App,Billetera digital,304.69,2.0,4.0
Centro,App,Tarjeta,83.06,6.0,3.0
Oriente,App,Billetera digital,168.6,6.0,3.0
Norte,Web,Tarjeta,476.07,5.0,3.0
Lima,App,Tarjeta,72.65,1.0,5.0
Sur,Web,Contra entrega,236.89,5.0,3.0
Centro,App,Billetera digital,104.95,5.0,4.0
Norte,Web,Billetera digital,95.51,4.0,4.0
Sur,Web,Billetera digital,167.34,3.0,5.0
Sur,App,Tarjeta,253.13,1.0,4.0
Lima,App,Tarjeta,121.21,1.0,4.0
Norte,App,Billetera digital,98.15,5.0,3.0
Lima,Web,Tarjeta,93.17,2.0,5.0
Oriente,Web,Contra entrega,115.86,12.0,2.0
Sur,Web,Billetera digital,145.47,2.0,5.0
Lima,Web,Billetera digital,63.9,3.0,4.0
Lima,Web,Billetera digital,102.52,3.0,4.0
Lima,App,Billetera digital,198.85,2.0,4.0
Oriente,App,Contra entrega,140.21,8.0,4.0
Sur,App,Contra entrega,166.01,3.0,4.0
Centro,App,Billetera digital,105.91,4.0,5.0
Lima,Web,Tarjeta,289.84,1.0,5.0
Norte,Web,Billetera digital,225.17,6.0,3.0
Sur,Web,Tarjeta,100.11,4.0,3.0
Lima,Web,Tarjeta,177.64,2.0,5.0
Oriente,Web,Tarjeta,55.97,5.0,3.0
Lima,Web,Tarjeta,230.09,1.0,4.0
Centro,App,Tarjeta,50.42,6.0,5.0
Sur,App,Billetera digital,197.38,5.0,3.0
Oriente,Web,Contra entrega,73.73,2.0,5.0
Sur,Web,Tarjeta,82.5,2.0,2.0
Sur,App,Billetera digital,117.12,5.0,3.0
Norte,App,Tarjeta,25.95,1.0,5.0
Lima,App,Billetera digital,184.21,2.0,5.0
Lima,App,Tarjeta,199.22,2.0,5.0
Lima,App,Tarjeta,141.31,2.0,5.0
Lima,App,Tarjeta,516.87,2.0,3.0
Lima,Web,Tarjeta,207.56,1.0,5.0
Lima,Web,Tarjeta,122.15,1.0,4.0
Lima,Web,Billetera digital,356.77,1.0,3.0
Lima,App,Tarjeta,158.29,1.0,5.0
Sur,Web,Tarjeta,76.03,7.0,4.0
Lima,App,Contra entrega,82.73,1.0,3.0
Norte,App,Contra entrega,343.05,2.0,4.0
Sur,Web,Billetera digital,52.54,4.0,3.0
Lima,Web,Billetera digital,79.64,1.0,5.0
Centro,Web,Contra entrega,101.22,4.0,3.0
Oriente,App,Tarjeta,165.38,8.0,2.0
Norte,App,Contra entrega,122.73,6.0,4.0
Norte,App,Tarjeta,242.75,6.0,
Lima,Web,Contra entrega,381.92,3.0,3.0
Lima,Web,Billetera digital,78.28,1.0,4.0
Norte,App,Contra entrega,141.36,3.0,4.0
Lima,App,Contra entrega,194.59,2.0,5.0
Oriente,App,Billetera digital,204.14,5.0,3.0
Lima,Web,Tarjeta,100.05,2.0,4.0
Sur,Web,Contra entrega,149.29,3.0,4.0
Lima,App,Tarjeta,254.09,1.0,5.0
Centro,Web,Billetera digital,167.83,2.0,5.0
Lima,App,Tarjeta,246.08,2.0,5.0
Lima,Web,Tarjeta,53.9,2.0,5.0
Lima,Web,Billetera digital,69.92,1.0,4.0
Norte,App,Billetera digital,155.83,3.0,5.0
Sur,Web,Tarjeta,161.54,1.0,4.0
Lima,Web,Contra entrega,139.49,2.0,4.0
Lima,Web,Billetera digital,184.55,2.0,5.0
Norte,Web,Tarjeta,126.29,1.0,4.0
Sur,App,Billetera digital,117.17,3.0,5.0
Sur,Web,Tarjeta,91.66,1.0,4.0
Sur,App,Billetera digital,257.18,4.0,5.0
Sur,App,Tarjeta,76.92,5.0,4.0
Centro,Web,Contra entrega,250.92,6.0,5.0
Norte,App,Tarjeta,258.44,2.0,5.0
Norte,Web,Billetera digital,96.1,3.0,4.0
Sur,Web,Contra entrega,178.61,3.0,3.0
Norte,App,Billetera digital,179.63,2.0,5.0
Lima,Web,Tarjeta,169.61,1.0,5.0
Lima,Web,Tarjeta,39.64,4.0,3.0
Lima,Web,Billetera digital,146.32,3.0,4.0
Oriente,Web,Billetera digital,152.8,7.0,3.0
Norte,App,Contra entrega,45.2,2.0,5.0
Lima,App,Tarjeta,119.61,2.0,5.0
Centro,App,Billetera digital,225.83,1.0,
Sur,App,Billetera digital,244.31,1.0,4.0
Oriente,App,Billetera digital,75.06,10.0,3.0
Lima,App,Billetera digital,263.06,3.0,3.0
Lima,App,Billetera digital,112.19,1.0,4.0
Lima,Web,Tarjeta,294.68,4.0,3.0
Lima,App,Tarjeta,173.09,2.0,3.0
Lima,App,Tarjeta,88.39,1.0,4.0
Lima,Web,Tarjeta,555.86,1.0,4.0
Norte,Web,Tarjeta,381.97,2.0,5.0
Lima,Web,Billetera digital,297.99,2.0,4.0
Lima,Web,Tarjeta,269.02,2.0,3.0
Lima,App,Tarjeta,113.89,2.0,5.0
Oriente,App,Contra entrega,330.0,3.0,3.0
Norte,App,Billetera digital,128.28,2.0,5.0
Lima,App,Billetera digital,158.66,3.0,5.0
Lima,Web,Billetera digital,47.23,2.0,4.0
Centro,App,Tarjeta,67.96,2.0,5.0
Sur,Web,Tarjeta,89.97,5.0,3.0
Norte,Web,Billetera digital,348.09,2.0,5.0
Sur,Web,Contra entrega,211.39,7.0,4.0
Norte,Web,Billetera digital,66.71,4.0,4.0
Oriente,Web,Contra entrega,163.22,4.0,5.0
Oriente,Web,Contra entrega,137.38,4.0,3.0
Centro,App,Billetera digital,57.64,5.0,3.0
Norte,Web,Contra entrega,548.0,3.0,5.0
Lima,Web,Billetera digital,154.27,3.0,3.0
Norte,Web,Billetera digital,136.79,1.0,5.0
Sur,App,Billetera digital,183.14,6.0,4.0
Lima,Web,Billetera digital,143.07,2.0,5.0
Sur,Web,Tarjeta,138.67,4.0,4.0
Lima,Web,Billetera digital,160.95,1.0,5.0
Lima,App,Tarjeta,170.67,3.0,3.0
Lima,App,Tarjeta,400.64,5.0,4.0
Norte,App,Billetera digital,88.22,2.0,4.0
Lima,App,Tarjeta,63.39,1.0,4.0
Lima,Web,Billetera digital,123.16,3.0,4.0
Sur,Web,Billetera digital,39.74,4.0,4.0
Sur,Web,Tarjeta,104.07,3.0,4.0
Sur,App,Billetera digital,205.7,4.0,
Norte,App,Billetera digital,118.91,4.0,5.0
Lima,Web,Contra entrega,40.3,1.0,5.0
Lima,Web,Tarjeta,87.65,3.0,3.0
Lima,Web,Tarjeta,307.29,1.0,5.0
Oriente,App,Billetera digital,144.7,3.0,5.0
Lima,App,Tarjeta,74.54,2.0,5.0
Sur,Web,Billetera digital,219.35,3.0,3.0
Norte,Web,Tarjeta,75.82,7.0,3.0
Centro,App,Contra entrega,143.79,4.0,3.0
Norte,Web,Tarjeta,241.73,3.0,4.0
Sur,App,Tarjeta,295.71,1.0,4.0
Norte,App,Billetera digital,167.7,2.0,5.0
Lima,Web,Billetera digital,246.37,2.0,5.0
Norte,Web,Billetera digital,84.06,3.0,4.0
Norte,Web,Billetera digital,108.95,4.0,4.0
Centro,Web,Billetera digital,113.15,4.0,3.0
Sur,App,Billetera digital,258.8,1.0,5.0
Norte,Web,Billetera digital,79.24,2.0,4.0
Norte,Web,Billetera digital,143.71,2.0,4.0
Norte,Web,Billetera digital,72.77,3.0,3.0
Sur,Web,Billetera digital,63.15,2.0,4.0
Sur,App,Contra entrega,130.27,6.0,2.0
Norte,App,Billetera digital,45.96,1.0,
Lima,Web,Billetera digital,104.83,2.0,4.0
Sur,App,Billetera digital,173.98,3.0,4.0
Norte,Web,Tarjeta,88.31,3.0,5.0
Lima,App,Tarjeta,142.45,1.0,3.0
Lima,Web,Billetera digital,135.52,1.0,3.0
Lima,Web,Billetera digital,616.0,1.0,5.0
Lima,App,Tarjeta,113.06,4.0,4.0
Centro,Web,Contra entrega,83.43,2.0,5.0
Sur,Web,Tarjeta,206.74,2.0,4.0
Lima,Web,Billetera digital,235.37,5.0,2.0
Lima,Web,Billetera digital,43.47,1.0,5.0
Lima,Web,Billetera digital,149.87,2.0,5.0
Lima,App,Tarjeta,152.56,2.0,2.0
Centro,App,Billetera digital,147.7,3.0,5.0
Lima,Web,Billetera digital,82.53,1.0,5.0
Lima,App,Billetera digital,151.37,3.0,4.0
Sur,Web,Tarjeta,159.78,1.0,4.0
Centro,App,Contra entrega,264.03,7.0,3.0
Centro,Web,Billetera digital,63.12,2.0,4.0
Oriente,App,Billetera digital,156.07,6.0,3.0
Norte,App,Tarjeta,214.98,3.0,5.0
Sur,App,Tarjeta,150.37,2.0,5.0
Centro,Web,Contra entrega,206.8,6.0,4.0
Oriente,App,Billetera digital,35.38,4.0,3.0
Lima,Web,Billetera digital,152.26,1.0,4.0
Sur,Web,Tarjeta,47.31,4.0,4.0
Sur,Web,Tarjeta,101.79,2.0,3.0
Centro,App,Tarjeta,89.52,3.0,5.0
Lima,App,Tarjeta,103.5,4.0,3.0
Sur,Web,Tarjeta,417.12,5.0,3.0
Centro,Web,Tarjeta,234.26,3.0,3.0
Lima,App,Tarjeta,121.41,4.0,4.0
Lima,App,Tarjeta,331.38,3.0,5.0
Norte,Web,Billetera digital,128.87,4.0,4.0
Centro,App,Billetera digital,122.58,2.0,5.0
Centro,App,Tarjeta,92.81,6.0,3.0
Lima,Web,Contra entrega,202.83,3.0,5.0
Oriente,Web,Tarjeta,131.07,7.0,4.0
Centro,Web,Contra entrega,89.23,4.0,5.0
Lima,Web,Tarjeta,117.55,1.0,4.0
Oriente,Web,Contra entrega,110.13,3.0,3.0
Lima,App,Contra entrega,213.13,1.0,5.0
Lima,Web,Billetera digital,195.23,2.0,5.0
Norte,Web,Billetera digital,140.44,2.0,5.0
Lima,App,Tarjeta,98.88,2.0,5.0
Norte,App,Billetera digital,200.29,4.0,4.0
Sur,App,Billetera digital,78.42,2.0,5.0
Lima,Web,Tarjeta,84.88,1.0,5.0
Sur,Web,Contra entrega,70.72,5.0,3.0
Centro,App,Tarjeta,64.11,2.0,4.0
Centro,App,Billetera digital,222.13,3.0,5.0
Sur,App,Tarjeta,42.14,7.0,3.0
Sur,Web,Tarjeta,242.94,4.0,2.0
Sur,Web,Tarjeta,84.02,4.0,4.0
Lima,App,Billetera digital,90.86,2.0,4.0
Norte,Web,Billetera digital,111.99,2.0,5.0
Oriente,Web,Billetera digital,21.53,4.0,2.0
Oriente,Web,Tarjeta,218.07,5.0,4.0
Norte,Web,Billetera digital,198.01,3.0,5.0
Norte,App,Billetera digital,167.29,2.0,1.0
Norte,Web,Billetera digital,62.85,3.0,3.0
Lima,Web,Billetera digital,221.12,4.0,4.0
Lima,Web,Contra entrega,178.97,3.0,4.0
Lima,App,Tarjeta,1451.17,2.0,4.0
Norte,App,Contra entrega,188.2,3.0,4.0
Lima,Web,Tarjeta,238.59,2.0,4.0
Lima,Web,Tarjeta,255.54,3.0,4.0
Lima,Web,Billetera digital,306.85,4.0,3.0
Lima,App,Tarjeta,228.43,3.0,3.0
Norte,Web,Tarjeta,139.29,3.0,2.0
Norte,Web,Tarjeta,184.47,1.0,5.0
Lima,Web,Billetera digital,94.61,1.0,4.0
Centro,App,Billetera digital,181.33,2.0,5.0
Sur,Web,Contra entrega,121.72,3.0,4.0
Norte,Web,Billetera digital,155.89,3.0,5.0
Lima,App,Billetera digital,76.81,2.0,5.0
Sur,Web,Tarjeta,135.02,4.0,4.0
Sur,Web,Billetera digital,102.39,4.0,3.0
Lima,App,Billetera digital,205.23,3.0,3.0
Sur,Web,Billetera digital,156.53,4.0,3.0
Lima,Web,Billetera digital,144.96,4.0,4.0
Norte,App,Tarjeta,244.87,1.0,5.0
Lima,App,Contra entrega,92.71,2.0,4.0
Norte,Web,Contra entrega,118.99,2.0,4.0
Norte,Web,Billetera digital,198.79,1.0,5.0
Lima,Web,Billetera digital,162.78,2.0,4.0
Lima,Web,Tarjeta,110.48,1.0,4.0
Lima,App,Tarjeta,51.12,5.0,4.0
Sur,App,Contra entrega,84.02,3.0,3.0
Norte,Web,Tarjeta,255.8,3.0,4.0
Norte,App,Billetera digital,153.58,3.0,3.0
Lima,App,Billetera digital,171.26,1.0,5.0
Centro,Web,Tarjeta,193.13,3.0,4.0
Lima,Web,Contra entrega,53.39,1.0,4.0
Sur,Web,Tarjeta,78.74,3.0,4.0
Lima,App,Billetera digital,257.44,1.0,4.0
Lima,App,Tarjeta,89.31,2.0,5.0
Lima,App,Tarjeta,244.5,2.0,4.0
Norte,Web,Tarjeta,135.08,3.0,3.0
Oriente,Web,Billetera digital,150.66,5.0,4.0
Centro,Web,Billetera digital,583.33,2.0,4.0
Sur,App,Tarjeta,282.21,3.0,5.0
Oriente,App,Billetera digital,128.02,8.0,2.0
Norte,App,Tarjeta,180.46,4.0,3.0
Lima,Web,Tarjeta,121.79,3.0,4.0
Lima,App,Tarjeta,346.84,1.0,5.0
Sur,App,Tarjeta,169.39,1.0,4.0
Lima,Web,Billetera digital,97.41,1.0,5.0
Sur,Web,Tarjeta,82.21,3.0,5.0
Lima,Web,Tarjeta,152.42,2.0,4.0
Lima,Web,Tarjeta,97.46,1.0,
Lima,Web,Billetera digital,46.04,1.0,4.0
Lima,App,Tarjeta,200.53,2.0,4.0
Lima,Web,Contra entrega,136.21,4.0,4.0
Norte,Web,Billetera digital,123.0,1.0,4.0
Oriente,Web,Tarjeta,45.31,4.0,4.0
Oriente,Web,Billetera digital,89.78,5.0,4.0
Sur,Web,Tarjeta,162.46,3.0,4.0
Sur,Web,Contra entrega,47.14,3.0,5.0
Norte,Web,Tarjeta,330.82,1.0,5.0
Sur,Web,Billetera digital,118.46,2.0,5.0
Lima,App,Tarjeta,290.48,2.0,5.0
Centro,App,Tarjeta,179.72,9.0,3.0
Sur,App,Billetera digital,120.49,1.0,5.0
Sur,App,Billetera digital,78.91,2.0,4.0
Lima,Web,Billetera digital,127.89,1.0,4.0
Lima,Web,Tarjeta,163.15,2.0,4.0
Centro,App,Contra entrega,163.52,7.0,4.0
Oriente,App,Contra entrega,87.96,4.0,3.0
Centro,App,Tarjeta,172.55,9.0,3.0
Norte,App,Tarjeta,128.81,6.0,2.0
Lima,App,Billetera digital,224.19,3.0,5.0
Norte,App,Billetera digital,84.89,3.0,5.0
Lima,App,Billetera digital,196.41,3.0,3.0
Centro,Web,Contra entrega,72.09,7.0,3.0
Oriente,App,Tarjeta,164.75,14.0,1.0
Norte,Web,Tarjeta,46.48,2.0,4.0
Sur,Web,Billetera digital,103.85,5.0,5.0
Lima,App,Tarjeta,276.5,1.0,4.0
Lima,App,Tarjeta,84.37,1.0,4.0
Centro,Web,Billetera digital,68.9,3.0,3.0
Sur,Web,Billetera digital,65.94,4.0,5.0
Sur,App,Tarjeta,168.87,4.0,3.0
Lima,App,Billetera digital,91.14,4.0,3.0
Lima,App,Tarjeta,59.36,1.0,3.0
Sur,App,Tarjeta,109.02,4.0,3.0
Sur,Web,Billetera digital,116.96,2.0,4.0
Lima,App,Contra entrega,71.36,3.0,4.0
Lima,Web,Tarjeta,29.11,2.0,4.0
Norte,App,Billetera digital,146.94,5.0,4.0
Lima,App,Billetera digital,206.57,4.0,4.0
Lima,App,Tarjeta,253.97,1.0,4.0
Norte,App,Tarjeta,201.64,5.0,4.0
Lima,Web,Contra entrega,176.72,1.0,4.0
Lima,Web,Billetera digital,239.09,2.0,4.0
Norte,App,Tarjeta,247.24,3.0,5.0
Lima,App,Billetera digital,149.81,2.0,5.0
Lima,Web,Billetera digital,178.06,2.0,4.0
Lima,Web,Tarjeta,77.93,2.0,3.0
Norte,App,Billetera digital,123.62,3.0,4.0
Lima,App,Tarjeta,621.17,1.0,5.0
Lima,Web,Billetera digital,168.26,1.0,5.0
Oriente,App,Contra entrega,132.14,7.0,4.0
Lima,App,Tarjeta,46.42,2.0,4.0
Oriente,App,Tarjeta,237.57,3.0,3.0
Norte,App,Billetera digital,289.24,3.0,5.0
Norte,Web,Billetera digital,159.4,8.0,3.0
Centro,Web,Tarjeta,206.69,2.0,4.0
Lima,App,Billetera digital,731.78,1.0,5.0
Norte,Web,Tarjeta,150.93,3.0,4.0
Lima,App,Billetera digital,118.33,2.0,5.0
Oriente,App,Tarjeta,183.07,5.0,5.0
Lima,Web,Tarjeta,76.53,3.0,4.0
Oriente,Web,Contra entrega,159.09,5.0,4.0
Norte,Web,Contra entrega,103.16,4.0,5.0
Sur,Web,Contra entrega,309.06,8.0,2.0
Sur,App,Billetera digital,60.29,2.0,4.0
Sur,Web,Billetera digital,176.39,2.0,4.0
Sur,Web,Billetera digital,212.69,4.0,4.0
Lima,Web,Tarjeta,66.99,5.0,3.0
Norte,App,Billetera digital,185.13,1.0,5.0
Lima,App,Billetera digital,264.02,3.0,4.0
Lima,Web,Tarjeta,210.23,2.0,5.0
Lima,App,Billetera digital,139.45,1.0,4.0
Lima,App,Billetera digital,191.5,3.0,3.0
Oriente,Web,Contra entrega,68.93,5.0,4.0
Lima,App,Billetera digital,100.73,4.0,3.0
Lima,Web,Tarjeta,158.64,1.0,4.0
Centro,Web,Billetera digital,118.16,8.0,4.0
Norte,Web,Contra entrega,300.04,4.0,4.0
Lima,Web,Contra entrega,292.45,1.0,5.0
Lima,App,Billetera digital,186.97,3.0,5.0
Oriente,App,Billetera digital,165.01,7.0,4.0
Lima,App,Tarjeta,333.56,1.0,5.0
Lima,App,Tarjeta,143.98,2.0,3.0
Centro,Web,Tarjeta,130.91,3.0,5.0
Oriente,Web,Tarjeta,111.81,5.0,5.0
Oriente,App,Contra entrega,49.07,1.0,5.0
Lima,App,Billetera digital,168.12,1.0,4.0
Lima,Web,Tarjeta,136.4,2.0,4.0
Centro,App,Billetera digital,51.97,2.0,5.0
Sur,App,Tarjeta,220.66,2.0,4.0
Lima,App,Tarjeta,206.72,2.0,5.0
Lima,App,Tarjeta,139.02,3.0,3.0
Lima,App,Billetera digital,175.91,2.0,5.0
Norte,App,Tarjeta,228.69,2.0,5.0
Norte,Web,Tarjeta,160.4,2.0,4.0
Centro,Web,Billetera digital,75.06,4.0,4.0
Lima,App,Tarjeta,308.02,1.0,4.0
Norte,Web,Tarjeta,127.5,2.0,5.0
Norte,App,Tarjeta,123.15,3.0,5.0
Lima,App,Contra entrega,323.07,1.0,5.0
Lima,Web,Billetera digital,119.06,3.0,5.0
Norte,App,Billetera digital,163.38,2.0,5.0
Oriente,App,Tarjeta,106.76,2.0,5.0
Oriente,App,Billetera digital,54.52,6.0,4.0
Lima,Web,Billetera digital,217.44,1.0,5.0
Sur,Web,Tarjeta,96.31,2.0,5.0
Centro,Web,Billetera digital,143.58,3.0,3.0
Lima,Web,Billetera digital,335.79,2.0,3.0
Norte,Web,Billetera digital,71.39,2.0,5.0
Centro,Web,Billetera digital,140.55,5.0,5.0
Norte,App,Tarjeta,149.47,2.0,5.0
Norte,Web,Billetera digital,111.37,2.0,5.0
Norte,App,Tarjeta,52.65,3.0,4.0
Lima,Web,Tarjeta,70.71,3.0,4.0
Lima,App,Tarjeta,112.78,2.0,4.0
Norte,App,Tarjeta,35.91,2.0,4.0
Norte,Web,Billetera digital,103.88,3.0,4.0
Sur,App,Billetera digital,139.91,2.0,4.0
Lima,Web,Billetera digital,57.64,1.0,5.0
Centro,Web,Billetera digital,70.14,4.0,4.0
Lima,Web,Tarjeta,87.71,1.0,4.0
Lima,Web,Tarjeta,164.5,1.0,5.0
Norte,Web,Billetera digital,68.3,3.0,5.0
Norte,Web,Tarjeta,151.57,4.0,3.0
Norte,App,Billetera digital,122.79,4.0,4.0
Lima,Web,Billetera digital,226.39,1.0,5.0
Lima,Web,Tarjeta,249.27,3.0,5.0
Centro,App,Contra entrega,95.12,7.0,3.0
Lima,App,Tarjeta,117.34,2.0,4.0
Lima,Web,Tarjeta,173.71,4.0,3.0
Lima,Web,Tarjeta,208.7,2.0,4.0
Lima,App,Billetera digital,201.3,1.0,5.0
Sur,App,Billetera digital,84.1,4.0,2.0
Norte,App,Tarjeta,174.38,2.0,5.0
Norte,Web,Billetera digital,528.0,3.0,5.0
Norte,App,Billetera digital,251.67,5.0,4.0
Norte,Web,Tarjeta,113.04,5.0,3.0
Norte,Web,Billetera digital,340.08,1.0,5.0
Lima,App,Tarjeta,131.7,3.0,3.0
Sur,App,Tarjeta,140.76,2.0,4.0
Centro,Web,Billetera digital,88.53,5.0,4.0
Lima,App,Tarjeta,335.73,2.0,3.0
Lima,App,Billetera digital,148.76,1.0,5.0
Lima,App,Billetera digital,158.05,2.0,4.0
Lima,Web,Tarjeta,96.72,1.0,5.0
Lima,Web,Contra entrega,287.51,3.0,4.0
Lima,Web,Billetera digital,54.63,1.0,4.0
Lima,Web,Tarjeta,451.04,2.0,5.0
Lima,Web,Tarjeta,64.12,2.0,5.0
